date,value
2012-08-27,0.2081
2012-08-28,0.1978
2012-08-29,0.1861
2012-08-30,0.1879
2012-08-31,0.1844
2012-09-04,0.1848
2012-09-05,0.1779
2012-09-06,0.1968
2012-09-07,0.1479
2012-09-10,0.1465
2012-09-11,0.1461
2012-09-12,0.1545
2012-09-13,0.1555
2012-09-14,0.1514
2012-09-17,0.1576
2012-09-18,0.1654
2012-09-19,0.1637
2012-09-20,0.1585
2012-09-21,0.1441
2012-09-24,0.1403
2012-09-25,0.1281
2012-09-26,0.1571
2012-09-27,0.1576
2012-09-28,0.165
2012-10-01,0.1523
2012-10-02,0.1472
2012-10-03,0.1436
2012-10-04,0.1306
2012-10-05,0.1348
2012-10-08,0.136
2012-10-09,0.1221
2012-10-10,0.1186
2012-10-11,0.1123
2012-10-12,0.1119
2012-10-15,0.1105
2012-10-16,0.1064
2012-10-17,0.1183
2012-10-18,0.1079
2012-10-19,0.1088
2012-10-22,0.1058
2012-10-23,0.12
2012-10-24,0.1118
2012-10-25,0.1014
2012-10-26,0.1067
2012-10-31,0.1193
2012-11-01,0.1236
2012-11-02,0.1137
2012-11-05,0.1199
2012-11-06,0.1204
2012-11-07,0.1317
2012-11-08,0.1295
2012-11-09,0.1327
2012-11-12,0.1259
2012-11-13,0.1193
2012-11-14,0.1038
2012-11-15,0.1091
2012-11-16,0.1212
2012-11-19,0.1333
2012-11-20,0.1327
2012-11-21,0.138
2012-11-23,0.131
2012-11-26,0.1345
2012-11-27,0.1264
2012-11-28,0.1105
2012-11-29,0.1146
2012-11-30,0.0993
2012-12-03,0.0887
2012-12-04,0.0839
2012-12-05,0.0741
2012-12-06,0.0599
2012-12-07,0.0582
2012-12-10,0.064
2012-12-11,0.0522
2012-12-12,0.0508
2012-12-13,0.0542
2012-12-14,0.0488
2012-12-17,0.0461
2012-12-18,0.0428
2012-12-19,0.0389
2012-12-20,0.0392
2012-12-21,0.0366
2012-12-24,0.0347
2012-12-26,0.0356
2012-12-27,0.0337
2012-12-28,0.0228
2012-12-31,0.0235
2013-01-02,0.0141
2013-01-03,0.019
2013-01-04,0.0274
2013-01-07,0.0334
2013-01-08,0.0393
2013-01-09,0.0415
2013-01-10,0.0291
2013-01-11,0.0282
2013-01-14,0.028
2013-01-15,0.0303
2013-01-16,0.0307
2013-01-17,0.0293
2013-01-18,0.0318
2013-01-22,0.0258
2013-01-23,0.0244
2013-01-24,0.0243
2013-01-25,0.0252
2013-01-28,0.0264
2013-01-29,0.0273
2013-01-30,0.0302
2013-01-31,0.0372
2013-02-01,0.048
2013-02-04,0.0801
2013-02-05,0.0946
2013-02-06,0.1031
2013-02-07,0.1174
2013-02-08,0.1256
2013-02-11,0.1252
2013-02-12,0.123
2013-02-13,0.1174
2013-02-14,0.1125
2013-02-15,0.1069
2013-02-19,0.0935
2013-02-20,0.087
2013-02-21,0.1029
2013-02-22,0.1087
2013-02-25,0.1043
2013-02-26,0.1275
2013-02-27,0.1384
2013-02-28,0.1462
2013-03-01,0.1534
2013-03-04,0.1551
2013-03-05,0.1616
2013-03-06,0.1475
2013-03-07,0.1464
2013-03-08,0.1433
2013-03-11,0.1337
2013-03-12,0.1187
2013-03-13,0.107
2013-03-14,0.1001
2013-03-15,0.0853
2013-03-18,0.0934
2013-03-19,0.103
2013-03-20,0.1105
2013-03-21,0.1129
2013-03-22,0.105
2013-03-25,0.1141
2013-03-26,0.11
2013-03-27,0.1167
2013-03-28,0.1124
2013-04-01,0.0952
2013-04-02,0.0939
2013-04-03,0.0889
2013-04-04,0.1008
2013-04-05,0.1098
2013-04-08,0.1266
2013-04-09,0.1217
2013-04-10,0.1323
2013-04-11,0.1293
2013-04-12,0.1317
2013-04-15,0.1289
2013-04-16,0.1122
2013-04-17,0.1198
2013-04-18,0.1241
2013-04-19,0.127
2013-04-22,0.1264
2013-04-23,0.1367
2013-04-24,0.1248
2013-04-25,0.1064
2013-04-26,0.1068
2013-04-29,0.1006
2013-04-30,0.0924
2013-05-01,0.0836
2013-05-02,0.0658
2013-05-03,0.0664
2013-05-06,0.0592
2013-05-07,0.0487
2013-05-08,0.046
2013-05-09,0.0389
2013-05-10,0.0308
2013-05-13,0.0286
2013-05-14,0.0281
2013-05-15,0.0243
2013-05-16,0.0216
2013-05-17,0.0201
2013-05-20,0.0168
2013-05-21,0.0147
2013-05-22,0.0129
2013-05-23,0.0159
2013-05-24,0.013
2013-05-28,0.0101
2013-05-29,0.009
2013-05-30,0.0077
2013-05-31,0.0084
2013-06-03,0.009
2013-06-04,0.0086
2013-06-05,0.0102
2013-06-06,0.0151
2013-06-07,0.0153
2013-06-10,0.0194
2013-06-11,0.028
2013-06-12,0.0316
2013-06-13,0.034
2013-06-14,0.0388
2013-06-17,0.0406
2013-06-18,0.0363
2013-06-19,0.0359
2013-06-20,0.079
2013-06-21,0.1019
2013-06-24,0.1208
2013-06-25,0.1234
2013-06-26,0.1183
2013-06-27,0.1118
2013-06-28,0.1159
2013-07-01,0.1247
2013-07-02,0.1197
2013-07-03,0.1363
2013-07-05,0.1327
2013-07-08,0.1225
2013-07-09,0.1055
2013-07-10,0.0963
2013-07-11,0.0952
2013-07-12,0.1004
2013-07-15,0.096
2013-07-16,0.0928
2013-07-17,0.0843
2013-07-18,0.0814
2013-07-19,0.0724
2013-07-22,0.0602
2013-07-23,0.0533
2013-07-24,0.0561
2013-07-25,0.0499
2013-07-26,0.042
2013-07-29,0.0371
2013-07-30,0.0326
2013-07-31,0.0283
2013-08-01,0.0299
2013-08-02,0.0235
2013-08-05,0.0171
2013-08-06,0.0152
2013-08-07,0.0106
2013-08-08,0.0088
2013-08-09,0.007
2013-08-12,0.0065
2013-08-13,0.006
2013-08-14,0.0051
2013-08-15,0.0047
2013-08-16,0.0052
2013-08-19,0.0049
2013-08-20,0.0045
2013-08-21,0.0043
2013-08-22,0.004
2013-08-23,0.0033
2013-08-26,0.003
2013-08-27,0.0126
2013-08-28,0.0182
2013-08-29,0.0173
2013-08-30,0.0179
2013-09-03,0.0177
2013-09-04,0.0153
2013-09-05,0.0151
2013-09-06,0.0133
2013-09-09,0.0108
2013-09-10,0.0178
2013-09-11,0.0164
2013-09-12,0.0175
2013-09-13,0.014
2013-09-16,0.0165
2013-09-17,0.0152
2013-09-18,0.0081
2013-09-19,0.0156
2013-09-20,0.0123
2013-09-23,0.011
2013-09-24,0.0095
2013-09-25,0.0089
2013-09-26,0.0082
2013-09-27,0.0064
2013-09-30,0.0063
2013-10-01,0.007
2013-10-02,0.0064
2013-10-03,0.0056
2013-10-04,0.0056
2013-10-07,0.0045
2013-10-08,0.0044
2013-10-09,0.004
2013-10-10,0.005
2013-10-11,0.0045
2013-10-14,0.0037
2013-10-15,0.0034
2013-10-16,0.0031
2013-10-17,0.0028
2013-10-18,0.0032
2013-10-21,0.0028
2013-10-22,0.0029
2013-10-23,0.0036
2013-10-24,0.0028
2013-10-25,0.0025
2013-10-28,0.002
2013-10-29,0.0023
2013-10-30,0.0029
2013-10-31,0.0076
2013-11-01,0.0077
2013-11-04,0.005
2013-11-05,0.0077
2013-11-06,0.0049
2013-11-07,0.0107
2013-11-08,0.0108
2013-11-11,0.0068
2013-11-12,0.0068
2013-11-13,0.0054
2013-11-14,0.0042
2013-11-15,0.0042
2013-11-18,0.0048
2013-11-19,0.0058
2013-11-20,0.0079
2013-11-21,0.0098
2013-11-22,0.0124
2013-11-25,0.0157
2013-11-26,0.0187
2013-11-27,0.0187
2013-11-29,0.0154
2013-12-02,0.0216
2013-12-03,0.0475
2013-12-04,0.0464
2013-12-05,0.0478
2013-12-06,0.0467
2013-12-09,0.0406
2013-12-10,0.0375
2013-12-11,0.04
2013-12-12,0.0409
2013-12-13,0.039
2013-12-16,0.0353
2013-12-17,0.0341
2013-12-18,0.0411
2013-12-19,0.0318
2013-12-20,0.0234
2013-12-23,0.0169
2013-12-24,0.0137
2013-12-26,0.0144
2013-12-27,0.0168
2013-12-30,0.0154
2013-12-31,0.0154
2014-01-02,0.0289
2014-01-03,0.0279
2014-01-06,0.0247
2014-01-07,0.0174
2014-01-08,0.0141
2014-01-09,0.0107
2014-01-10,0.0116
2014-01-13,0.0124
2014-01-14,0.0139
2014-01-15,0.0131
2014-01-16,0.0152
2014-01-17,0.0171
2014-01-21,0.01
2014-01-22,0.0082
2014-01-23,0.0111
2014-01-24,0.0329
2014-01-27,0.0325
2014-01-28,0.0265
2014-01-29,0.0249
2014-01-30,0.0254
2014-01-31,0.0327
2014-02-03,0.0412
2014-02-04,0.039
2014-02-05,0.0276
2014-02-06,0.0301
2014-02-07,0.0263
2014-02-10,0.0215
2014-02-11,0.0188
2014-02-12,0.0179
2014-02-13,0.0146
2014-02-14,0.0123
2014-02-18,0.0093
2014-02-19,0.0083
2014-02-20,0.0088
2014-02-21,0.0088
2014-02-24,0.0088
2014-02-25,0.0092
2014-02-26,0.0097
2014-02-27,0.0105
2014-02-28,0.0092
2014-03-03,0.0385
2014-03-04,0.0309
2014-03-05,0.0243
2014-03-06,0.0255
2014-03-07,0.0254
2014-03-10,0.021
2014-03-11,0.0158
2014-03-12,0.0146
2014-03-13,0.0166
2014-03-14,0.0145
2014-03-17,0.012
2014-03-18,0.0093
2014-03-19,0.0089
2014-03-20,0.0081
2014-03-21,0.0079
2014-03-24,0.0081
2014-03-25,0.0058
2014-03-26,0.0044
2014-03-27,0.0037
2014-03-28,0.0033
2014-03-31,0.0027
2014-04-01,0.0024
2014-04-02,0.0026
2014-04-03,0.0023
2014-04-04,0.0032
2014-04-07,0.0044
2014-04-08,0.0058
2014-04-09,0.0056
2014-04-10,0.0081
2014-04-11,0.0076
2014-04-14,0.0074
2014-04-15,0.0098
2014-04-16,0.0085
2014-04-17,0.0074
2014-04-21,0.004
2014-04-22,0.0037
2014-04-23,0.0029
2014-04-24,0.0026
2014-04-25,0.0038
2014-04-28,0.0031
2014-04-29,0.0025
2014-04-30,0.0026
2014-05-01,0.0024
2014-05-02,0.0029
2014-05-05,0.0029
2014-05-06,0.0029
2014-05-07,0.0029
2014-05-08,0.0033
2014-05-09,0.0026
2014-05-12,0.0017
2014-05-13,0.002
2014-05-14,0.0041
2014-05-15,0.0131
2014-05-16,0.012
2014-05-19,0.01
2014-05-20,0.0076
2014-05-21,0.0066
2014-05-22,0.0054
2014-05-23,0.0038
2014-05-27,0.0021
2014-05-28,0.0033
2014-05-29,0.0028
2014-05-30,0.0024
2014-06-02,0.0024
2014-06-03,0.0042
2014-06-04,0.0044
2014-06-05,0.0042
2014-06-06,0.0088
2014-06-09,0.0077
2014-06-10,0.0068
2014-06-11,0.0066
2014-06-12,0.0061
2014-06-13,0.0049
2014-06-16,0.0042
2014-06-17,0.0044
2014-06-18,0.0039
2014-06-19,0.0037
2014-06-20,0.0031
2014-06-23,0.0033
2014-06-24,0.0033
2014-06-25,0.0054
2014-06-26,0.0052
2014-06-27,0.0051
2014-06-30,0.0062
2014-07-01,0.0068
2014-07-02,0.0064
2014-07-03,0.0065
2014-07-07,0.008
2014-07-08,0.0117
2014-07-09,0.0094
2014-07-10,0.0138
2014-07-11,0.012
2014-07-14,0.0107
