date,sentiment_mean,sentiment_std,sentiment_count,ciss_mean,ciss_max,ciss_min,realized_vol
2011-05-22,-0.39816434550842794,0.03409198522415296,5,0.24382,0.2684,0.2223,0.10849743449030716
2011-05-29,-0.4458067119186989,0.08142854450502267,5,0.26116,0.266,0.249,0.10755059087456424
2011-06-05,-0.4932384705050771,0.06153367050039695,4,0.280875,0.2939,0.2676,0.22210677847060548
2011-06-12,-0.403157093958497,0.06599471270912544,5,0.25176,0.2704,0.2342,0.13507322772627225
2011-06-19,-0.39884073477800974,0.09122740556335245,5,0.28832,0.3207,0.2524,0.17507958963722478
2011-06-26,-0.356393325699333,0.07321730381633534,5,0.3201,0.3341,0.3073,0.1571210892904632
2011-07-03,-0.32480433740057885,0.08524665554057645,5,0.31828,0.3397,0.2758,0.04356890893908809
2011-07-10,-0.36336552249355947,0.10650129783515823,4,0.25415,0.2984,0.2314,0.11451154798096823
2011-07-17,-0.42530510800481924,0.14079266000757498,5,0.45095999999999997,0.4744,0.4089,0.15087209530619433
2011-07-24,-0.4742886777070737,0.05772633271695,5,0.46014,0.4802,0.4407,0.16332195881239198
2011-07-31,-0.2636178376680639,0.08932186344950643,5,0.42922000000000005,0.4387,0.4161,0.1155915640728295
2011-08-07,-0.4057058838862611,0.046810874897083875,5,0.4708,0.4977,0.4501,0.34774542947057463
2011-08-14,-0.35831189399535723,0.06437012111935753,5,0.60202,0.6446,0.5273,0.8156703987035141
2011-08-21,-0.3419235398378294,0.07163191562125709,5,0.67644,0.6917,0.6604,0.3785908906105121
2011-08-28,-0.30460335555438994,0.05100197943513152,5,0.61414,0.6629,0.5688,0.28190319579253836
2011-09-04,-0.318436578420569,0.035689274214381145,5,0.49437999999999993,0.5347,0.4642,0.31845073902874554
2011-09-11,-0.3363933832492999,0.05581354928905779,4,0.5205249999999999,0.5831,0.4851,0.3635899447707861
2011-09-18,-0.4354484029180881,0.09320936871191261,5,0.6261,0.6366,0.618,0.1010605375435141
2011-09-25,-0.3891605184686691,0.06610749078796091,5,0.6558200000000001,0.673,0.635,0.27364490967518634
