,regime,regime_id
2017-07-25,low_volatility,0
2017-07-26,normal,1
2017-07-27,low_volatility,0
2017-07-28,normal,1
2017-07-31,normal,1
2017-08-01,elevated,2
2017-08-02,normal,1
2017-08-03,low_volatility,0
2017-08-04,normal,1
2017-08-07,normal,1
2017-08-08,low_volatility,0
2017-08-09,normal,1
2017-08-10,elevated,2
2017-08-11,normal,1
2017-08-14,normal,1
2017-08-15,normal,1
2017-08-16,normal,1
2017-08-17,normal,1
2017-08-18,normal,1
2017-08-21,elevated,2
2017-08-22,normal,1
2017-08-23,normal,1
2017-08-24,elevated,2
2017-08-25,normal,1
2017-08-28,normal,1
2017-08-29,normal,1
2017-08-30,normal,1
2017-08-31,low_volatility,0
2017-09-01,elevated,2
2017-09-05,low_volatility,0
2017-09-06,normal,1
2017-09-07,normal,1
2017-09-08,normal,1
2017-09-11,low_volatility,0
2017-09-12,low_volatility,0
2017-09-13,low_volatility,0
2017-09-14,low_volatility,0
2017-09-15,normal,1
2017-09-18,elevated,2
2017-09-19,low_volatility,0
2017-09-20,low_volatility,0
2017-09-21,elevated,2
2017-09-22,normal,1
2017-09-25,elevated,2
2017-09-26,elevated,2
2017-09-27,normal,1
2017-09-28,low_volatility,0
2017-09-29,low_volatility,0
2017-10-02,low_volatility,0
2017-10-03,normal,1
2017-10-04,elevated,2
2017-10-05,low_volatility,0
2017-10-06,normal,1
2017-10-09,low_volatility,0
2017-10-10,normal,1
2017-10-11,low_volatility,0
2017-10-12,normal,1
2017-10-13,elevated,2
2017-10-16,normal,1
2017-10-17,low_volatility,0
2017-10-18,low_volatility,0
2017-10-19,elevated,2
2017-10-20,normal,1
2017-10-23,elevated,2
2017-10-24,elevated,2
2017-10-25,low_volatility,0
2017-10-26,normal,1
2017-10-27,normal,1
2017-10-30,elevated,2
