,regime,regime_id
2016-01-29,normal,1
2016-02-01,elevated,2
2016-02-02,normal,1
2016-02-03,elevated,2
2016-02-04,normal,1
2016-02-05,elevated,2
2016-02-08,normal,1
2016-02-09,normal,1
2016-02-10,normal,1
2016-02-11,elevated,2
2016-02-12,elevated,2
2016-02-16,elevated,2
2016-02-17,normal,1
2016-02-18,normal,1
2016-02-19,normal,1
2016-02-22,normal,1
2016-02-23,elevated,2
2016-02-24,elevated,2
2016-02-25,low_volatility,0
2016-02-26,elevated,2
2016-02-29,normal,1
2016-03-01,normal,1
2016-03-02,low_volatility,0
2016-03-03,elevated,2
2016-03-04,elevated,2
2016-03-07,normal,1
2016-03-08,normal,1
2016-03-09,low_volatility,0
2016-03-10,low_volatility,0
2016-03-11,normal,1
2016-03-14,normal,1
2016-03-15,normal,1
2016-03-16,low_volatility,0
2016-03-17,normal,1
2016-03-18,elevated,2
2016-03-21,elevated,2
2016-03-22,low_volatility,0
2016-03-23,elevated,2
2016-03-24,elevated,2
2016-03-28,normal,1
2016-03-29,elevated,2
2016-03-30,elevated,2
2016-03-31,normal,1
2016-04-01,low_volatility,0
2016-04-04,elevated,2
2016-04-05,elevated,2
2016-04-06,normal,1
2016-04-07,normal,1
2016-04-08,low_volatility,0
2016-04-11,low_volatility,0
2016-04-12,low_volatility,0
2016-04-13,normal,1
2016-04-14,elevated,2
2016-04-15,elevated,2
2016-04-18,low_volatility,0
2016-04-19,elevated,2
2016-04-20,normal,1
2016-04-21,low_volatility,0
2016-04-22,elevated,2
2016-04-25,elevated,2
2016-04-26,normal,1
2016-04-27,normal,1
2016-04-28,normal,1
2016-04-29,normal,1
2016-05-02,elevated,2
2016-05-03,elevated,2
2016-05-04,elevated,2
2016-05-05,normal,1
2016-05-06,elevated,2
2016-05-09,low_volatility,0
2016-05-10,low_volatility,0
2016-05-11,normal,1
2016-05-12,normal,1
2016-05-13,elevated,2
2016-05-16,normal,1
2016-05-17,elevated,2
2016-05-18,normal,1
2016-05-19,normal,1
2016-05-20,normal,1
2016-05-23,elevated,2
2016-05-24,normal,1
2016-05-25,normal,1
2016-05-26,normal,1
2016-05-27,low_volatility,0
2016-05-31,low_volatility,0
2016-06-01,elevated,2
2016-06-02,elevated,2
2016-06-03,elevated,2
2016-06-06,normal,1
2016-06-07,normal,1
2016-06-08,low_volatility,0
2016-06-09,elevated,2
2016-06-10,elevated,2
2016-06-13,elevated,2
2016-06-14,low_volatility,0
2016-06-15,elevated,2
2016-06-16,normal,1
2016-06-17,normal,1
2016-06-20,low_volatility,0
2016-06-21,normal,1
2016-06-22,normal,1
2016-06-23,normal,1
2016-06-24,elevated,2
2016-06-27,elevated,2
2016-06-28,normal,1
2016-06-29,low_volatility,0
2016-06-30,normal,1
2016-07-01,elevated,2
2016-07-05,normal,1
2016-07-06,normal,1
2016-07-07,elevated,2
2016-07-08,low_volatility,0
2016-07-11,low_volatility,0
2016-07-12,low_volatility,0
2016-07-13,normal,1
2016-07-14,low_volatility,0
2016-07-15,normal,1
2016-07-18,elevated,2
2016-07-19,low_volatility,0
2016-07-20,normal,1
2016-07-21,elevated,2
2016-07-22,normal,1
2016-07-25,normal,1
2016-07-26,normal,1
2016-07-27,normal,1
2016-07-28,normal,1
2016-07-29,normal,1
2016-08-01,normal,1
2016-08-02,normal,1
2016-08-03,normal,1
2016-08-04,normal,1
2016-08-05,low_volatility,0
2016-08-08,normal,1
2016-08-09,normal,1
2016-08-10,normal,1
2016-08-11,normal,1
2016-08-12,elevated,2
2016-08-15,normal,1
2016-08-16,normal,1
2016-08-17,normal,1
2016-08-18,normal,1
2016-08-19,normal,1
2016-08-22,normal,1
2016-08-23,normal,1
2016-08-24,normal,1
2016-08-25,normal,1
2016-08-26,normal,1
2016-08-29,normal,1
2016-08-30,normal,1
2016-08-31,normal,1
2016-09-01,low_volatility,0
2016-09-02,normal,1
2016-09-06,normal,1
2016-09-07,normal,1
2016-09-08,elevated,2
2016-09-09,elevated,2
2016-09-12,normal,1
2016-09-13,elevated,2
2016-09-14,normal,1
2016-09-15,normal,1
2016-09-16,low_volatility,0
2016-09-19,normal,1
2016-09-20,normal,1
2016-09-21,normal,1
2016-09-22,low_volatility,0
2016-09-23,elevated,2
2016-09-26,elevated,2
2016-09-27,normal,1
2016-09-28,normal,1
2016-09-29,normal,1
2016-09-30,normal,1
2016-10-03,low_volatility,0
2016-10-04,normal,1
2016-10-05,normal,1
2016-10-06,normal,1
2016-10-07,elevated,2
2016-10-10,elevated,2
2016-10-11,normal,1
2016-10-12,normal,1
2016-10-13,normal,1
2016-10-14,low_volatility,0
2016-10-17,normal,1
2016-10-18,normal,1
2016-10-19,normal,1
2016-10-20,normal,1
2016-10-21,normal,1
2016-10-24,normal,1
2016-10-25,elevated,2
2016-10-26,normal,1
2016-10-27,normal,1
2016-10-28,normal,1
2016-10-31,normal,1
2016-11-01,low_volatility,0
2016-11-02,normal,1
2016-11-03,normal,1
2016-11-04,elevated,2
2016-11-07,normal,1
2016-11-08,normal,1
2016-11-09,normal,1
2016-11-10,normal,1
2016-11-11,low_volatility,0
2016-11-14,low_volatility,0
2016-11-15,normal,1
2016-11-16,elevated,2
2016-11-17,low_volatility,0
2016-11-18,normal,1
2016-11-21,normal,1
2016-11-22,normal,1
2016-11-23,normal,1
2016-11-25,normal,1
2016-11-28,normal,1
2016-11-29,elevated,2
2016-11-30,normal,1
2016-12-01,normal,1
2016-12-02,normal,1
2016-12-05,normal,1
2016-12-06,normal,1
2016-12-07,normal,1
2016-12-08,normal,1
2016-12-09,elevated,2
2016-12-12,normal,1
2016-12-13,normal,1
2016-12-14,normal,1
2016-12-15,normal,1
2016-12-16,normal,1
2016-12-19,low_volatility,0
2016-12-20,elevated,2
2016-12-21,normal,1
2016-12-22,normal,1
2016-12-23,normal,1
2016-12-27,elevated,2
2016-12-28,normal,1
2016-12-29,normal,1
2016-12-30,low_volatility,0
2017-01-03,normal,1
2017-01-04,normal,1
2017-01-05,low_volatility,0
2017-01-06,low_volatility,0
2017-01-09,normal,1
2017-01-10,normal,1
2017-01-11,normal,1
2017-01-12,elevated,2
2017-01-13,normal,1
2017-01-17,normal,1
2017-01-18,normal,1
2017-01-19,normal,1
2017-01-20,low_volatility,0
2017-01-23,elevated,2
2017-01-24,elevated,2
2017-01-25,normal,1
2017-01-26,normal,1
2017-01-27,elevated,2
2017-01-30,low_volatility,0
2017-01-31,normal,1
2017-02-01,elevated,2
2017-02-02,elevated,2
2017-02-03,elevated,2
2017-02-06,elevated,2
2017-02-07,normal,1
2017-02-08,normal,1
2017-02-09,low_volatility,0
2017-02-10,normal,1
2017-02-13,low_volatility,0
2017-02-14,normal,1
2017-02-15,normal,1
2017-02-16,normal,1
2017-02-17,normal,1
2017-02-21,low_volatility,0
2017-02-22,normal,1
2017-02-23,normal,1
2017-02-24,low_volatility,0
2017-02-27,elevated,2
2017-02-28,normal,1
2017-03-01,normal,1
2017-03-02,normal,1
2017-03-03,normal,1
2017-03-06,normal,1
2017-03-07,normal,1
2017-03-08,normal,1
2017-03-09,low_volatility,0
2017-03-10,normal,1
2017-03-13,normal,1
2017-03-14,elevated,2
2017-03-15,normal,1
2017-03-16,elevated,2
2017-03-17,normal,1
2017-03-20,normal,1
2017-03-21,elevated,2
2017-03-22,elevated,2
2017-03-23,normal,1
2017-03-24,elevated,2
2017-03-27,normal,1
2017-03-28,low_volatility,0
2017-03-29,low_volatility,0
2017-03-30,low_volatility,0
2017-03-31,elevated,2
2017-04-03,normal,1
2017-04-04,normal,1
2017-04-05,elevated,2
2017-04-06,elevated,2
2017-04-07,normal,1
2017-04-10,low_volatility,0
2017-04-11,normal,1
2017-04-12,normal,1
2017-04-13,normal,1
2017-04-17,normal,1
2017-04-18,elevated,2
2017-04-19,elevated,2
2017-04-20,normal,1
2017-04-21,elevated,2
2017-04-24,normal,1
2017-04-25,normal,1
2017-04-26,normal,1
2017-04-27,elevated,2
2017-04-28,low_volatility,0
2017-05-01,normal,1
2017-05-02,normal,1
2017-05-03,normal,1
2017-05-04,low_volatility,0
2017-05-05,normal,1
2017-05-08,low_volatility,0
2017-05-09,normal,1
2017-05-10,normal,1
2017-05-11,normal,1
2017-05-12,normal,1
2017-05-15,elevated,2
2017-05-16,normal,1
2017-05-17,elevated,2
2017-05-18,normal,1
2017-05-19,normal,1
2017-05-22,normal,1
2017-05-23,normal,1
2017-05-24,low_volatility,0
2017-05-25,normal,1
2017-05-26,normal,1
2017-05-30,normal,1
2017-05-31,normal,1
2017-06-01,normal,1
2017-06-02,elevated,2
2017-06-05,elevated,2
2017-06-06,normal,1
2017-06-07,normal,1
2017-06-08,normal,1
2017-06-09,normal,1
2017-06-12,normal,1
2017-06-13,normal,1
2017-06-14,normal,1
2017-06-15,normal,1
2017-06-16,normal,1
2017-06-19,low_volatility,0
2017-06-20,normal,1
2017-06-21,normal,1
2017-06-22,normal,1
2017-06-23,normal,1
2017-06-26,elevated,2
2017-06-27,normal,1
2017-06-28,elevated,2
2017-06-29,normal,1
2017-06-30,normal,1
2017-07-03,low_volatility,0
2017-07-05,normal,1
2017-07-06,normal,1
2017-07-07,low_volatility,0
2017-07-10,normal,1
2017-07-11,low_volatility,0
2017-07-12,normal,1
2017-07-13,normal,1
2017-07-14,normal,1
2017-07-17,elevated,2
2017-07-18,elevated,2
2017-07-19,low_volatility,0
2017-07-20,normal,1
2017-07-21,normal,1
2017-07-24,normal,1
