,regime,from_regime,to_regime
2019-06-17,normal,elevated,normal
2019-06-19,elevated,normal,elevated
2019-06-20,low_volatility,elevated,low_volatility
2019-06-21,normal,low_volatility,normal
2019-06-24,low_volatility,normal,low_volatility
2019-06-25,normal,low_volatility,normal
2019-06-26,elevated,normal,elevated
2019-06-28,low_volatility,elevated,low_volatility
2019-07-01,normal,low_volatility,normal
2019-07-02,low_volatility,normal,low_volatility
2019-07-08,elevated,low_volatility,elevated
2019-07-09,normal,elevated,normal
2019-07-11,low_volatility,normal,low_volatility
2019-07-12,normal,low_volatility,normal
2019-07-15,low_volatility,normal,low_volatility
2019-07-16,normal,low_volatility,normal
2019-07-18,elevated,normal,elevated
2019-07-22,normal,elevated,normal
2019-07-25,low_volatility,normal,low_volatility
2019-07-29,normal,low_volatility,normal
2019-08-01,elevated,normal,elevated
2019-08-06,normal,elevated,normal
2019-08-07,elevated,normal,elevated
2019-08-09,low_volatility,elevated,low_volatility
2019-08-12,normal,low_volatility,normal
2019-08-14,elevated,normal,elevated
2019-08-15,normal,elevated,normal
2019-08-19,low_volatility,normal,low_volatility
2019-08-20,normal,low_volatility,normal
2019-08-23,elevated,normal,elevated
2019-08-27,normal,elevated,normal
2019-08-30,low_volatility,normal,low_volatility
2019-09-03,elevated,low_volatility,elevated
2019-09-04,normal,elevated,normal
2019-09-05,elevated,normal,elevated
2019-09-06,low_volatility,elevated,low_volatility
2019-09-10,normal,low_volatility,normal
2019-09-18,elevated,normal,elevated
2019-09-19,normal,elevated,normal
2019-09-27,low_volatility,normal,low_volatility
2019-09-30,normal,low_volatility,normal
2019-10-02,elevated,normal,elevated
2019-10-08,normal,elevated,normal
2019-10-10,low_volatility,normal,low_volatility
2019-10-14,elevated,low_volatility,elevated
2019-10-15,normal,elevated,normal
2019-10-18,low_volatility,normal,low_volatility
2019-10-21,normal,low_volatility,normal
2019-10-23,low_volatility,normal,low_volatility
2019-10-24,elevated,low_volatility,elevated
2019-10-25,normal,elevated,normal
2019-10-28,low_volatility,normal,low_volatility
2019-10-31,elevated,low_volatility,elevated
2019-11-01,low_volatility,elevated,low_volatility
2019-11-04,normal,low_volatility,normal
2019-11-14,low_volatility,normal,low_volatility
2019-11-19,normal,low_volatility,normal
2019-11-21,elevated,normal,elevated
2019-11-25,low_volatility,elevated,low_volatility
2019-11-26,normal,low_volatility,normal
2019-12-03,elevated,normal,elevated
2019-12-05,normal,elevated,normal
2019-12-10,low_volatility,normal,low_volatility
2019-12-11,normal,low_volatility,normal
2019-12-16,low_volatility,normal,low_volatility
2019-12-18,normal,low_volatility,normal
2019-12-23,low_volatility,normal,low_volatility
2019-12-30,normal,low_volatility,normal
2019-12-31,low_volatility,normal,low_volatility
2020-01-02,normal,low_volatility,normal
2020-01-03,elevated,normal,elevated
2020-01-06,normal,elevated,normal
2020-01-09,low_volatility,normal,low_volatility
2020-01-13,normal,low_volatility,normal
2020-01-23,elevated,normal,elevated
2020-01-24,normal,elevated,normal
2020-01-27,elevated,normal,elevated
2020-01-28,normal,elevated,normal
2020-01-30,low_volatility,normal,low_volatility
2020-02-04,normal,low_volatility,normal
2020-02-06,elevated,normal,elevated
2020-02-07,normal,elevated,normal
2020-02-10,elevated,normal,elevated
2020-02-11,normal,elevated,normal
2020-02-14,low_volatility,normal,low_volatility
2020-02-19,normal,low_volatility,normal
2020-02-20,elevated,normal,elevated
2020-02-26,normal,elevated,normal
2020-02-27,elevated,normal,elevated
2020-03-02,low_volatility,elevated,low_volatility
2020-03-03,normal,low_volatility,normal
2020-03-06,high_volatility,normal,high_volatility
