,regime,from_regime,to_regime
2014-11-20,normal,elevated,normal
2014-11-25,low_volatility,normal,low_volatility
2014-11-28,normal,low_volatility,normal
2014-12-04,low_volatility,normal,low_volatility
2014-12-05,normal,low_volatility,normal
2014-12-08,elevated,normal,elevated
2014-12-09,normal,elevated,normal
2014-12-11,low_volatility,normal,low_volatility
2014-12-12,normal,low_volatility,normal
2014-12-15,low_volatility,normal,low_volatility
2014-12-16,elevated,low_volatility,elevated
2014-12-17,low_volatility,elevated,low_volatility
2014-12-18,elevated,low_volatility,elevated
2014-12-19,normal,elevated,normal
2014-12-22,low_volatility,normal,low_volatility
2014-12-24,elevated,low_volatility,elevated
2014-12-26,low_volatility,elevated,low_volatility
2014-12-30,normal,low_volatility,normal
2015-01-05,low_volatility,normal,low_volatility
2015-01-06,elevated,low_volatility,elevated
2015-01-07,low_volatility,elevated,low_volatility
2015-01-08,elevated,low_volatility,elevated
2015-01-09,normal,elevated,normal
2015-01-12,elevated,normal,elevated
2015-01-13,normal,elevated,normal
2015-01-14,elevated,normal,elevated
2015-01-15,normal,elevated,normal
2015-01-20,low_volatility,normal,low_volatility
2015-01-23,normal,low_volatility,normal
2015-01-28,low_volatility,normal,low_volatility
2015-01-29,normal,low_volatility,normal
2015-02-02,elevated,normal,elevated
2015-02-03,normal,elevated,normal
2015-02-09,low_volatility,normal,low_volatility
2015-02-10,normal,low_volatility,normal
2015-02-11,low_volatility,normal,low_volatility
2015-02-12,normal,low_volatility,normal
2015-02-13,elevated,normal,elevated
2015-02-18,normal,elevated,normal
2015-02-20,low_volatility,normal,low_volatility
2015-02-25,normal,low_volatility,normal
2015-02-27,elevated,normal,elevated
2015-03-03,low_volatility,elevated,low_volatility
2015-03-04,normal,low_volatility,normal
2015-03-05,low_volatility,normal,low_volatility
2015-03-06,elevated,low_volatility,elevated
2015-03-10,low_volatility,elevated,low_volatility
2015-03-12,normal,low_volatility,normal
2015-03-17,elevated,normal,elevated
2015-03-19,normal,elevated,normal
2015-03-25,low_volatility,normal,low_volatility
2015-03-26,normal,low_volatility,normal
2015-04-01,low_volatility,normal,low_volatility
2015-04-02,normal,low_volatility,normal
2015-04-06,elevated,normal,elevated
2015-04-07,normal,elevated,normal
2015-04-09,low_volatility,normal,low_volatility
2015-04-10,normal,low_volatility,normal
2015-04-13,elevated,normal,elevated
2015-04-14,normal,elevated,normal
2015-04-15,low_volatility,normal,low_volatility
2015-04-16,normal,low_volatility,normal
2015-04-20,elevated,normal,elevated
2015-04-21,normal,elevated,normal
2015-05-01,elevated,normal,elevated
2015-05-04,normal,elevated,normal
2015-05-05,low_volatility,normal,low_volatility
2015-05-06,normal,low_volatility,normal
2015-05-12,elevated,normal,elevated
2015-05-14,normal,elevated,normal
