,compound,positive,negative,cross_asset_std,sent_crypto,sent_equities,sent_forex,sent_news,sent_social,returns,realized_vol,vix,vix_change,ciss,ciss_change,te_proxy,sent_momentum,sent_acceleration,sent_dispersion,max_divergence,garch_vol,long_run_vol,regime
2007-11-30,-0.4247324,0.0,0.0,0.0,0.0,0.0,-0.6943738,0.0,0.0,0.010056132226184733,0.26368062464955777,22.8700008392334,-0.0514309307228209,0.2357,0.0,0.3287672289528643,0.011008699999999982,0.06948092,0.04134610327303168,0.05847222000000002,0.019525519505901895,0.008645789539509124,normal
2007-12-03,-0.6160486,0.0,0.0,0.0,0.0,0.0,-0.6943738,0.0,0.0,-0.006592534743403267,0.26359700378353734,23.61000061035156,0.03235678810508369,0.2391,0.003400000000000014,0.42771248883422763,-0.08129032999999997,0.15196366,0.16493547806781914,0.23325398999999997,0.01829357394803109,0.008645789539509124,normal
2007-12-04,-0.20297712,0.0,0.0,0.0,0.0,0.0,-0.6943738,0.0,0.0,-0.008938433123072409,0.26123446975826187,23.790000915527344,0.0076239009115850465,0.2544,0.015300000000000008,0.41371269772939634,0.21115738,0.79815495,0.41506996228702514,0.5869975700000001,0.017067412036443214,0.008645789539509124,low_volatility
2007-12-05,0.18309364,0.0,0.0,0.0,0.0,0.0,-0.6943738,0.0,0.0,0.01673987194338289,0.2577846777988406,22.530000686645508,-0.052963437595307306,0.2447,-0.009700000000000014,0.5168901341535321,0.37894074,0.09710513999999998,0.19928786393977935,0.2818356,0.016174679505403567,0.008645789539509124,normal
2007-12-07,0.5524729,0.0,0.0,0.0,0.0,0.0,-0.6943738,0.0,0.0,-0.00019812980897315757,0.25771957835331083,20.850000381469727,-0.07456725494782557,0.2436,-0.0010999999999999899,0.5808544105671222,0.6888604700000001,0.52142147,0.11839725233509434,0.167439,0.01617330054241959,0.008645789539509124,low_volatility
2007-12-10,-0.4525416,0.0,0.0,0.0,0.0,0.0,-0.6943738,0.0,0.0,0.007752538971724121,0.25796787352458406,20.739999771118164,-0.005275808553429351,0.2362,-0.007400000000000018,0.4977193956048775,-0.02780919999999998,-0.03881789999999996,0.007784326422048333,0.011008699999999982,0.014869631560612113,0.008645789539509124,normal
2007-12-11,-0.36569118,0.0,0.0,0.0,0.0,0.0,-0.6943738,0.0,0.0,-0.027420070536260388,0.26936406400045443,23.59000015258789,0.13741564189593403,0.243,0.0068000000000000005,0.41187668263995697,0.25035741999999994,0.3316477499999999,0.057480943587892214,0.08129032999999997,0.01394910066930084,0.008645789539509124,normal
2007-12-12,-0.2831484,0.0,0.0,0.0,0.0,0.0,-0.6943738,0.0,0.0,0.009871262798324842,0.2560924081745148,22.46999931335449,-0.04747778007583159,0.2429,-9.999999999998899e-05,0.4019792696760262,-0.08017128000000001,-0.29132866,0.14931081529558468,0.21115738,0.017189022935528965,0.008645789539509124,normal
2007-12-13,-0.40350735,0.0,0.0,0.0,0.0,0.0,-0.6943738,0.0,0.0,-0.0020758884427095614,0.25559372996685065,22.559999465942383,0.004005347367073808,0.2508,0.007900000000000018,0.3713603584197132,-0.58660099,-0.96554173,0.2679515669218484,0.37894074,0.016194913649717854,0.008645789539509124,elevated
2007-12-14,0.12927528,0.0,0.0,0.0,0.0,0.0,-0.6943738,0.0,0.0,-0.012679352090387064,0.25494075562283797,23.270000457763672,0.03147167591440492,0.2423,-0.008500000000000035,0.37525312301515806,-0.42319762000000005,-1.11205809,0.4870979096283523,0.6888604700000001,0.014931633653793795,0.008645789539509124,elevated
2007-12-17,0.16285452,0.0,0.0,0.0,0.0,0.0,-0.6943738,0.0,0.0,-0.014269047104238153,0.25740260412949445,24.520000457763672,0.05371723143146556,0.2603,0.017999999999999988,0.2989647582825591,0.61539612,0.64320532,0.01966407389937292,0.02780919999999998,0.014787417115224783,0.008645789539509124,normal
2007-12-19,0.36818877,0.0,0.0,0.0,0.0,0.0,-0.6943738,0.0,0.0,0.0,0.23350417222921652,21.68000030517578,-0.11582382135268976,0.2761,0.015800000000000036,0.38927781516483934,0.73387995,0.48352253,0.17702942940236854,0.25035741999999994,0.014917241836877187,0.008645789539509124,low_volatility
2007-12-21,0.053681396,0.0,0.0,0.0,0.0,0.0,-0.6943738,0.0,0.0,0.014415032439068831,0.23953983903604875,18.46999931335449,-0.14806277429133397,0.2833,0.007199999999999984,0.4030352356976117,0.336829796,0.417001076,0.05668965574440544,0.08017128000000001,0.013723600029962257,0.008645789539509124,normal
2007-12-26,0.011943047,0.0,0.0,0.0,0.0,0.0,-0.6943738,0.0,0.0,0.0021441291795052386,0.23467045070327813,18.65999984741211,0.010286981111051974,0.2272,-0.05609999999999998,0.4122114921243891,0.41545039699999997,1.0020513869999998,0.4147895378797421,0.5866009899999999,0.013752602778323972,0.008645789539509124,low_volatility
2007-12-27,-0.53404677,0.0,0.0,0.0,0.0,0.0,-0.6943738,0.0,0.0,-0.012570694188694609,0.23840036728612407,20.26000022888184,0.08574493004037342,0.2048,-0.022400000000000003,0.3820257616917531,-0.66332205,-0.24012442999999994,0.2992459068840077,0.42319762000000005,0.012667874243701192,0.008645789539509124,elevated
2007-12-28,-0.397143,0.0,0.0,0.0,0.0,0.0,-0.6943738,0.0,0.0,-0.002505762948852741,0.23383401122199365,20.739999771118164,0.02369198108655768,0.2024,-0.0024000000000000132,0.31322982529998666,-0.55999752,-1.17539364,0.43515076956789034,0.61539612,0.012878977219251965,0.008645789539509124,elevated
