date,avg_sentiment,text_count,sentiment_volatility,sentiment_zscore,predicted_regime,vix_regime,vix_value,correct
2008-10-19,-0.13848030544817447,25,0.06547185740380448,-0.2325616129128174,normal,unknown,,False
2008-10-20,-0.13316809507803276,26,0.061024377374591585,-0.2281400005188137,normal,high_volatility,52.970001220703125,False
2008-10-21,-0.16015041045844555,25,0.039855314364469346,-0.5273070946738883,normal,high_volatility,53.11000061035156,False
2008-10-22,-0.24536567335511172,26,0.0454598267676676,-1.2969902476067738,elevated,high_volatility,69.6500015258789,False
2008-10-23,-0.3075261911945343,26,0.07650525659803734,-1.6398901836652835,high_volatility,high_volatility,67.80000305175781,True
2008-10-24,-0.31711031579066584,26,0.083747412186037,-1.6904814139130464,high_volatility,high_volatility,79.12999725341797,True
2008-10-25,-0.09881770718842744,25,0.09464926147230657,0.3760099863024597,normal,unknown,,False
2008-10-26,-0.27067563105374576,50,0.08817033613351634,-1.0879561073386843,high_volatility,unknown,,False
2008-10-27,-0.10720161955630635,25,0.10847526829049133,0.5967766726277551,normal,high_volatility,80.05999755859375,False
2008-10-28,-0.27524550165992934,26,0.10279536746440565,-1.0741537921157274,high_volatility,high_volatility,66.95999908447266,True
2008-10-29,-0.12910577429171938,26,0.08902572335321082,0.5123170085186418,normal,high_volatility,69.95999908447266,False
2008-10-30,-0.24193689964998227,26,0.08052386445039596,-0.6103775693903665,elevated,high_volatility,62.900001525878906,False
2008-10-31,-0.1852284196703138,26,0.07163314154552577,0.18879752131668434,normal,high_volatility,59.88999938964844,False
2008-11-01,-0.21122481033205986,25,0.055734663165999336,-0.12886493621923567,normal,unknown,,False
2008-11-02,-0.4527847299724817,25,0.12381871719875479,-2.3252949614153016,high_volatility,unknown,,False
2008-11-03,-0.31330548423976307,26,0.10737816614212402,-0.7852096177133445,elevated,high_volatility,53.68000030517578,False
2008-11-04,-0.15211222911784272,26,0.12203897785799409,0.8595387496401758,elevated,high_volatility,47.72999954223633,False
2008-11-05,-0.14229338748667103,26,0.13011640864589188,0.8575682249698858,normal,high_volatility,54.560001373291016,False
